T_forfft,V_forfft
9.28623e+01,0.00000e+00
9.35632e+01,0.00000e+00
9.42642e+01,0.00000e+00
9.49652e+01,0.00000e+00
9.56661e+01,0.00000e+00
9.63671e+01,0.00000e+00
9.70680e+01,0.00000e+00
9.77690e+01,0.00000e+00
9.84700e+01,0.00000e+00
9.91709e+01,0.00000e+00
9.98719e+01,0.00000e+00
1.00573e+02,0.00000e+00
1.01274e+02,0.00000e+00
1.01975e+02,0.00000e+00
1.02676e+02,0.00000e+00
1.03377e+02,0.00000e+00
1.04078e+02,0.00000e+00
1.04779e+02,0.00000e+00
1.05480e+02,0.00000e+00
1.06181e+02,0.00000e+00
1.06882e+02,0.00000e+00
1.07583e+02,0.00000e+00
1.08283e+02,0.00000e+00
1.08984e+02,0.00000e+00
1.09685e+02,0.00000e+00
1.10386e+02,0.00000e+00
1.11087e+02,0.00000e+00
1.11788e+02,0.00000e+00
1.12489e+02,0.00000e+00
1.13190e+02,0.00000e+00
1.13891e+02,0.00000e+00
1.14592e+02,0.00000e+00
1.15293e+02,0.00000e+00
1.15994e+02,0.00000e+00
1.16695e+02,0.00000e+00
1.17396e+02,0.00000e+00
1.18097e+02,0.00000e+00
1.18798e+02,0.00000e+00
1.19499e+02,0.00000e+00
1.20200e+02,0.00000e+00
1.20901e+02,0.00000e+00
1.21602e+02,0.00000e+00
1.22303e+02,0.00000e+00
1.23004e+02,0.00000e+00
1.23705e+02,0.00000e+00
1.24406e+02,0.00000e+00
1.25107e+02,0.00000e+00
1.25808e+02,0.00000e+00
1.26509e+02,0.00000e+00
1.27210e+02,0.00000e+00
1.27910e+02,0.00000e+00
1.28611e+02,0.00000e+00
1.29312e+02,0.00000e+00
1.30013e+02,0.00000e+00
1.30714e+02,0.00000e+00
1.31415e+02,0.00000e+00
1.32116e+02,0.00000e+00
1.32817e+02,0.00000e+00
1.33518e+02,0.00000e+00
1.34219e+02,0.00000e+00
1.34920e+02,0.00000e+00
1.35621e+02,0.00000e+00
1.36322e+02,0.00000e+00
1.37023e+02,0.00000e+00
1.37724e+02,0.00000e+00
1.38425e+02,0.00000e+00
1.39126e+02,0.00000e+00
1.39827e+02,0.00000e+00
1.40528e+02,0.00000e+00
1.41229e+02,0.00000e+00
1.41930e+02,0.00000e+00
1.42631e+02,0.00000e+00
1.43332e+02,0.00000e+00
1.44033e+02,0.00000e+00
1.44734e+02,0.00000e+00
1.45435e+02,0.00000e+00
